"","Longitude..x.","Latitude..y.","Station.Name","Climate.ID","Date.Time","Year","Month","Day","Data.Quality","Max.Temp...C.","Max.Temp.Flag","Min.Temp...C.","Min.Temp.Flag","Mean.Temp...C.","Mean.Temp.Flag","Heat.Deg.Days...C.","Heat.Deg.Days.Flag","Cool.Deg.Days...C.","Cool.Deg.Days.Flag","Total.Rain..mm.","Total.Rain.Flag","Total.Snow..cm.","Total.Snow.Flag","Total.Precip..mm.","Total.Precip.Flag","Snow.on.Grnd..cm.","Snow.on.Grnd.Flag","Dir.of.Max.Gust..10s.deg.","Dir.of.Max.Gust.Flag","Spd.of.Max.Gust..km.h.","Spd.of.Max.Gust.Flag"
"1",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-01",2008,1,1,NA,1.6,NA,-6.6,NA,-2.5,NA,20.5,NA,0,NA,0.2,NA,1.8,NA,2,NA,42,NA,NA,"M","","M"
"2",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-02",2008,1,2,NA,2,NA,-8.1,NA,-3.1,NA,21.1,NA,0,NA,0,"TRUE",5,NA,4.5,NA,42,NA,NA,"M","","M"
"3",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-03",2008,1,3,NA,-0.4,NA,-11,NA,-5.7,NA,23.7,NA,0,NA,0.2,NA,0,"TRUE",0.2,NA,38,NA,32,"E","65","E"
"4",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-04",2008,1,4,NA,-5.9,NA,-12.6,NA,-9.3,NA,27.3,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",36,NA,24,"E","37","E"
"5",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-05",2008,1,5,NA,-2.4,NA,-9.6,NA,-6,NA,24,NA,0,NA,0,NA,2.6,NA,1.6,NA,34,NA,28,"E","50","E"
"6",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-06",2008,1,6,NA,-2.5,NA,-10.5,NA,-6.5,NA,24.5,NA,0,NA,0,NA,6.4,NA,2.2,NA,34,NA,NA,"","<31",""
"7",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-07",2008,1,7,NA,2.5,NA,-4.2,NA,-0.9,NA,18.9,NA,0,NA,0,"TRUE",0,"TRUE",0,"TRUE",40,NA,24,"E","54","E"
"8",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-08",2008,1,8,NA,3.8,NA,-1.2,NA,1.3,NA,16.7,NA,0,NA,0.6,NA,0,NA,0.6,NA,32,NA,27,"E","61","E"
"9",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-09",2008,1,9,NA,0.5,NA,-2.5,NA,-1,NA,19,NA,0,NA,0.8,NA,1.8,NA,1.8,NA,26,NA,NA,"","<31",""
"10",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-10",2008,1,10,NA,9.5,NA,0,NA,4.8,NA,13.2,NA,0,NA,8.2,NA,0,NA,8.2,NA,23,NA,28,"E","74","E"
"11",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-11",2008,1,11,NA,0.5,NA,-3,NA,-1.3,NA,19.3,NA,0,NA,0,NA,0,NA,0,NA,19,NA,29,"E","82","E"
"12",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-12",2008,1,12,NA,7,NA,-2.7,NA,2.2,NA,15.8,NA,0,NA,11,NA,0,"TRUE",11,NA,19,NA,19,"E","57","E"
"13",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-13",2008,1,13,NA,5,NA,-4.3,NA,0.4,NA,17.6,NA,0,NA,0.4,NA,0,NA,0.4,NA,13,NA,29,"E","74","E"
"14",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-14",2008,1,14,NA,-2.6,NA,-5.3,NA,-4,NA,22,NA,0,NA,0,NA,1,NA,1,NA,12,NA,30,"E","67","E"
"15",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-15",2008,1,15,NA,0.9,NA,-2.7,NA,-0.9,NA,18.9,NA,0,NA,4.5,NA,8.6,NA,11.6,NA,16,NA,11,"E","56","E"
"16",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-16",2008,1,16,NA,0.1,NA,-2,NA,-1,NA,19,NA,0,NA,0,"TRUE",0.8,NA,0.2,NA,18,NA,4,"E","61","E"
"17",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-17",2008,1,17,NA,-1.6,NA,-4.8,NA,-3.2,NA,21.2,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",18,NA,1,"E","67","E"
"18",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-18",2008,1,18,NA,-1.9,NA,-8.4,NA,-5.2,NA,23.2,NA,0,NA,0,NA,0,NA,0,NA,18,NA,18,"E","59","E"
"19",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-19",2008,1,19,NA,2,NA,-5.8,NA,-1.9,NA,19.9,NA,0,NA,0,"TRUE",2,NA,2,NA,19,NA,19,"E","78","E"
"20",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-20",2008,1,20,NA,-3.8,NA,-7.4,NA,-5.6,NA,23.6,NA,0,NA,0,NA,24.6,NA,20.8,NA,18,NA,12,"E","33","E"
"21",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-21",2008,1,21,NA,-4.1,NA,-15.6,NA,-9.9,NA,27.9,NA,0,NA,0,NA,2.6,NA,2.4,NA,43,NA,29,"E","59","E"
"22",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-22",2008,1,22,NA,-9.8,NA,-15.1,NA,-12.5,NA,30.5,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",43,NA,29,"E","69","E"
"23",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-23",2008,1,23,NA,4,NA,-10,NA,-3,NA,21,NA,0,NA,6.4,NA,10.4,NA,15.4,NA,46,NA,17,"E","82","E"
"24",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-24",2008,1,24,NA,-3.8,NA,-8,NA,-5.9,NA,23.9,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",48,NA,20,"E","37","E"
"25",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-25",2008,1,25,NA,-3.5,NA,-10.8,NA,-7.2,NA,25.2,NA,0,NA,0,NA,22.2,NA,15.2,NA,48,NA,2,"E","63","E"
"26",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-26",2008,1,26,NA,-10.8,NA,-15.9,NA,-13.4,NA,31.4,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",63,NA,31,"E","46","E"
"27",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-27",2008,1,27,NA,-9.9,NA,-17.3,NA,-13.6,NA,31.6,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",62,NA,29,"E","35","E"
"28",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-28",2008,1,28,NA,2.6,NA,-14.9,NA,-6.2,NA,24.2,NA,0,NA,1.8,NA,0,"TRUE",1.8,NA,62,NA,16,"E","59","E"
"29",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-29",2008,1,29,NA,7.9,NA,1.6,NA,4.8,NA,13.2,NA,0,NA,39.4,NA,0,NA,39.4,NA,47,NA,14,"","65",""
"30",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-30",2008,1,30,NA,9.1,NA,0.2,NA,4.7,NA,13.3,NA,0,NA,2.2,NA,0,NA,2.2,NA,30,NA,27,"E","33","E"
"31",-52.74,47.62,"ST JOHN'S A",8403506,"2008-01-31",2008,1,31,NA,8,NA,-3.7,NA,2.2,NA,15.8,NA,0,NA,0,"TRUE",0,NA,0,"TRUE",22,NA,24,"E","57","E"
"32",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-01",2008,2,1,NA,-3.4,NA,-7.1,NA,-5.3,NA,23.3,NA,0,NA,0,NA,0,NA,0,NA,16,NA,29,"E","50","E"
"33",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-02",2008,2,2,NA,1.6,NA,-8,NA,-3.2,NA,21.2,NA,0,NA,8.4,NA,2,NA,10.4,NA,15,NA,15,"E","72","E"
"34",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-03",2008,2,3,NA,-0.1,NA,-6.1,NA,-3.1,NA,21.1,NA,0,NA,0,"TRUE",0.2,NA,0,"TRUE",13,NA,28,"E","70","E"
"35",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-04",2008,2,4,NA,-5,NA,-7.2,NA,-6.1,NA,24.1,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",13,NA,33,"E","46","E"
"36",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-05",2008,2,5,NA,-6.1,NA,-12.7,NA,-9.4,NA,27.4,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",10,NA,33,"E","41","E"
"37",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-06",2008,2,6,NA,-2.2,NA,-12.6,NA,-7.4,NA,25.4,NA,0,NA,0,"TRUE",3.2,NA,1.8,NA,10,NA,14,"E","33","E"
"38",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-07",2008,2,7,NA,-2.3,NA,-4.9,NA,-3.6,NA,21.6,NA,0,NA,0,"TRUE",3.2,NA,2.2,NA,13,NA,35,"E","44","E"
"39",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-08",2008,2,8,NA,-2.5,NA,-4.9,NA,-3.7,NA,21.7,NA,0,NA,0,NA,0.2,NA,0,"TRUE",13,NA,3,"E","35","E"
"40",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-09",2008,2,9,NA,-0.8,NA,-7.5,NA,-4.2,NA,22.2,NA,0,NA,0,NA,5.8,NA,5.6,NA,18,NA,33,"E","41","E"
"41",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-10",2008,2,10,NA,-1.9,NA,-7.3,NA,-4.6,NA,22.6,NA,0,NA,0,NA,6,NA,4.6,NA,18,NA,11,"E","54","E"
"42",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-11",2008,2,11,NA,-0.3,NA,-5.5,NA,-2.9,NA,20.9,NA,0,NA,0,NA,12.8,NA,10.6,NA,22,NA,23,"E","70","E"
"43",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-12",2008,2,12,NA,-1.7,NA,-7.6,NA,-4.7,NA,22.7,NA,0,NA,0,NA,1.4,NA,0.8,NA,26,NA,29,"E","83","E"
"44",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-13",2008,2,13,NA,-2.6,NA,-8.4,NA,-5.5,NA,23.5,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",24,NA,29,"E","46","E"
"45",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-14",2008,2,14,NA,8.5,NA,-4,NA,2.3,NA,15.7,NA,0,NA,35.6,NA,0,"TRUE",35.6,NA,23,NA,19,"E","106","E"
"46",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-15",2008,2,15,NA,4.6,NA,-3.8,NA,0.4,NA,17.6,NA,0,NA,0.4,NA,0,"TRUE",0.4,NA,11,NA,25,"E","33","E"
"47",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-16",2008,2,16,NA,1.8,NA,-12.6,NA,-5.4,NA,23.4,NA,0,NA,0,"TRUE",0,"TRUE",0,"TRUE",11,NA,29,"E","52","E"
"48",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-17",2008,2,17,NA,-9.1,NA,-14.1,NA,-11.6,NA,29.6,NA,0,NA,0,NA,0,NA,0,NA,10,NA,29,"E","54","E"
"49",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-18",2008,2,18,NA,6.2,NA,-12.2,NA,-3,NA,21,NA,0,NA,3.2,NA,2,NA,4.6,NA,10,NA,22,"E","72","E"
"50",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-19",2008,2,19,NA,10.9,NA,0.9,NA,5.9,NA,12.1,NA,0,NA,20.2,NA,0,NA,20.2,NA,8,NA,22,"E","85","E"
"51",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-20",2008,2,20,NA,2.9,NA,-4.2,NA,-0.7,NA,18.7,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",6,NA,25,"E","85","E"
"52",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-21",2008,2,21,NA,-2,NA,-10.3,NA,-6.2,NA,24.2,NA,0,NA,0,NA,0.2,NA,0,"TRUE",6,NA,27,"E","54","E"
"53",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-22",2008,2,22,NA,-5.9,NA,-11,NA,-8.5,NA,26.5,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",6,NA,28,"E","57","E"
"54",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-23",2008,2,23,NA,-4.3,NA,-9.6,NA,-7,NA,25,NA,0,NA,0,"TRUE",17.5,NA,17.5,NA,6,NA,7,"E","54","E"
"55",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-24",2008,2,24,NA,-4.8,NA,-12.1,NA,-8.5,NA,26.5,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",21,NA,29,"E","50","E"
"56",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-25",2008,2,25,NA,0.1,NA,-7.2,NA,-3.6,NA,21.6,NA,0,NA,0,NA,0,NA,0,NA,20,NA,25,"E","35","E"
"57",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-26",2008,2,26,NA,1.5,NA,-3.6,NA,-1.1,NA,19.1,NA,0,NA,0,NA,0,NA,0,NA,20,NA,NA,"","<31",""
"58",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-27",2008,2,27,NA,9.4,NA,-5.8,NA,1.8,NA,16.2,NA,0,NA,2.2,NA,0,NA,2.2,NA,17,NA,18,"E","70","E"
"59",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-28",2008,2,28,NA,8.6,NA,-2.2,NA,3.2,NA,14.8,NA,0,NA,0.6,NA,0,NA,0.6,NA,12,NA,25,"E","61","E"
"60",-52.74,47.62,"ST JOHN'S A",8403506,"2008-02-29",2008,2,29,NA,-2.2,NA,-13.6,NA,-7.9,NA,25.9,NA,0,NA,0,"TRUE",2.6,NA,1.6,NA,11,NA,35,"E","37","E"
"61",-52.74,47.62,"ST JOHN'S A",8403506,"2008-03-01",2008,3,1,NA,-3.8,NA,-15.6,NA,-9.7,NA,27.7,NA,0,NA,0,NA,0,"TRUE",0,"TRUE",13,NA,16,"E","56","E"
"62",-52.74,47.62,"ST JOHN'S A",8403506,"2008-03-02",2008,3,2,NA,2.1,NA,-4,NA,-1,NA,19,NA,0,NA,11.4,NA,7,NA,18.4,NA,9,NA,16,"E","70","E"
